hyperparameters,accuracy_score,f1_score
"['nndsvda', 'mu', 'kullback-leibler', 1, 0.1, 0]",0.9362416107382551,0.9362200840662418
"['nndsvda', 'mu', 'kullback-leibler', 0.1, 1, 0]",0.934228187919463,0.934035745554995
"['nndsvdar', 'mu', 'kullback-leibler', 1, 0.1, 0]",0.9295302013422819,0.9292014998487326
"['nndsvdar', 'mu', 'kullback-leibler', 0, 1, 0]",0.9288590604026845,0.9280451452769346
"['nndsvdar', 'mu', 'kullback-leibler', 0, 1, 0.5]",0.9288590604026845,0.928270409235671
"['nndsvdar', 'mu', 'kullback-leibler', 0, 0.1, 0.25]",0.9288590604026845,0.9282658504296362
"['nndsvdar', 'mu', 'kullback-leibler', 0, 0.1, 0.5]",0.9288590604026845,0.928270409235671
"['nndsvdar', 'mu', 'kullback-leibler', 0.01, 0.01, 0]",0.9288590604026845,0.9279298284322419
"['nndsvdar', 'mu', 'kullback-leibler', 0.01, 'same', 0]",0.9288590604026845,0.9279298284322419
"['nndsvdar', 'mu', 'kullback-leibler', 0, 0.1, 0.75]",0.9288590604026845,0.928270409235671
"['nndsvdar', 'mu', 'kullback-leibler', 0.01, 0.001, 0]",0.9288590604026845,0.9281613584521766
"['nndsvdar', 'mu', 'kullback-leibler', 0, 0.1, 1]",0.9288590604026845,0.928270409235671
"['nndsvdar', 'mu', 'kullback-leibler', 0, 1, 0.25]",0.9288590604026845,0.928270409235671
"['nndsvda', 'mu', 'kullback-leibler', 0, 0.1, 0.75]",0.9288590604026845,0.9282612539357927
"['nndsvda', 'mu', 'kullback-leibler', 0, 0.1, 1]",0.9288590604026845,0.9282612539357927
"['nndsvda', 'mu', 'kullback-leibler', 0, 1, 0.25]",0.9281879194630872,0.9275972695182954
"['nndsvdar', 'mu', 'kullback-leibler', 0, 0.01, 0.25]",0.9281879194630872,0.9274848571876955
"['nndsvdar', 'mu', 'kullback-leibler', 0.1, 1, 0]",0.9281879194630872,0.9276683853335725
"['nndsvdar', 'mu', 'kullback-leibler', 0.01, 0.1, 0]",0.9281879194630872,0.9271724511751117
